game_id,date,win_percentage,home_team,away_team,home_team_recent_10,away_team_recent_10,result
244,14-02-14,1.26 (67.5%) 4.20 (20.2%) 6.90 (12.3%),AS로마,삼프도리,7승1무2패,5승2무3패,1
245,14-02-14,1.30 (65.4%) 3.85 (22.1%) 6.80 (12.5%),AC밀란,볼로냐,4승2무4패,2승4무4패,1
246,14-02-14,3.15 (27%) 3.10 (27.4%) 1.86 (45.6%),카타니아,라치오,1승4무5패,5승3무2패,1
247,14-02-14,1.40 (60.6%) 3.80 (22.3%) 5.00 (17%),에버턴,스완지,,,1
248,14-02-14,1.44 (59%) 3.65 (23.3%) 4.80 (17.7%),빌바오,에스파뇰,4승2무4패,3승1무6패,0
249,14-02-14,3.00 (28.3%) 3.15 (27%) 1.90 (44.7%),선덜랜드,사우샘프,,,1
250,14-02-14,3.65 (23.3%) 3.20 (26.5%) 1.69 (50.2%),SC바스티,모나코,4승1무5패,6승3무1패,0
251,14-02-15,1.23 (69.1%) 4.20 (20.2%) 8.00 (10.6%),리옹,아작시오,7승2무1패,1승3무6패,1
253,14-02-15,2.24 (37.9%) 2.90 (29.3%) 2.60 (32.7%),FC소쇼,갱강,2승1무7패,1승4무5패,1
255,14-02-15,2.28 (37.3%) 2.90 (29.3%) 2.55 (33.4%),랭스,보르도,4승2무4패,4승1무5패,1
257,14-02-15,1.20 (70.8%) 4.80 (17.7%) 7.40 (11.5%),도르트문,E프랑크,6승2무2패,5승1무4패,1
258,14-02-15,1.93 (44.1%) 3.20 (26.6%) 2.90 (29.3%),레버쿠젠,샬케04,6승0무4패,6승2무2패,0
260,14-02-15,1.88 (45.2%) 3.20 (26.5%) 3.00 (28.3%),호펜하임,슈투트가,3승3무4패,2승0무8패,1
261,14-02-15,2.60 (32.7%) 3.20 (26.6%) 2.09 (40.7%),슈바이크,함부르크,2승2무6패,1승1무8패,1
262,14-02-15,2.26 (37.6%) 3.15 (27%) 2.40 (35.4%),H베를린,볼프스부,5승1무4패,5승3무2패,0
263,14-02-15,1.47 (57.8%) 3.70 (22.9%) 4.40 (19.3%),비야레알,셀타비고,5승1무4패,4승2무4패,0
264,14-02-15,1.44 (59%) 3.65 (23.3%) 4.80 (17.7%),빌바오,에스파뇰,4승2무4패,3승1무6패,0
265,14-02-15,1.85 (45.9%) 3.30 (25.8%) 3.00 (28.3%),그라나다,베티스,2승1무7패,2승1무7패,1
267,14-02-15,1.83 (46.4%) 3.15 (27%) 3.20 (26.6%),레반테,알메리아,3승4무3패,4승2무4패,1
268,14-02-18,4.30 (19.8%) 3.60 (23.6%) 1.50 (56.7%),에스비에,피오렌티,,,0
270,14-02-18,3.20 (26.6%) 3.35 (25.4%) 1.77 (48%),레버쿠젠,PSG,,,0
274,14-02-18,1.40 (60.7%) 3.65 (23.3%) 5.30 (16%),라치오,루도고레,4승3무3패,5승1무2패,0
275,14-02-25,5.20 (16.3%) 4.10 (20.7%) 1.35 (63%),샬케04,레알마드,6승2무2패,9승1무0패,0
276,14-02-25,1.40 (60.7%) 3.65 (23.3%) 5.30 (16%),나폴리,스완지,,,1
277,14-02-25,1.30 (65.5%) 4.00 (21.3%) 6.40 (13.3%),SL벤피카,PAOK,,,1
278,14-02-25,1.56 (54.6%) 3.45 (24.7%) 4.10 (20.8%),루빈카잔,베티스,,,0
